n_requests,method,k,utility,served,n_qubo_variables,wall_time_s,gap_vs_full,relative_gap_vs_full
8,k2,2,407.6718272950847,5,72,0.859131447999971,3.987242612968771,0.009685788324448543
8,k4,4,407.6718272950847,5,77,0.8149296169995068,3.987242612968771,0.009685788324448543
8,k6,6,407.6718272950847,5,77,0.8327095920012653,3.987242612968771,0.009685788324448543
8,k8,8,407.6718272950847,5,77,0.8287428999992699,3.987242612968771,0.009685788324448543
8,adaptive,2,407.6718272950847,5,72,0.7789599059997272,3.987242612968771,0.009685788324448543
12,k2,2,388.6974986995055,6,74,0.777984997999738,5.684341886080802e-14,1.4624076319243967e-16
12,k4,4,388.6974986995055,6,79,0.8084599730009359,5.684341886080802e-14,1.4624076319243967e-16
12,k6,6,388.6974986995055,6,79,0.8003010240008734,5.684341886080802e-14,1.4624076319243967e-16
12,k8,8,388.6974986995055,6,79,0.7947498609992181,5.684341886080802e-14,1.4624076319243967e-16
12,adaptive,2,388.6974986995055,6,74,0.7969836430002033,5.684341886080802e-14,1.4624076319243967e-16
