topology,n_requests,bond_dim,solver,served,served_ratio,utility,time_s
chain_8,4,1,TN(χ=1),3,0.75,219.13417151404502,0.010097476000737515
chain_8,4,2,TN(χ=2),3,0.75,219.13417151404502,0.010231604999717092
chain_8,4,4,TN(χ=4),3,0.75,219.13417151404502,0.011017587999958778
chain_8,4,8,TN(χ=8),3,0.75,219.13417151404502,0.010723024999606423
chain_8,4,16,TN(χ=16),3,0.75,219.13417151404502,0.011899323000761797
chain_8,4,32,TN(χ=32),3,0.75,219.13417151404502,0.013474698000209173
chain_8,4,-1,Metropolis-SA,3,0.75,219.13417151404502,1.1150223489985365
chain_8,8,1,TN(χ=1),4,0.5,143.8112037229092,0.010459907998665585
chain_8,8,2,TN(χ=2),4,0.5,143.8112037229092,0.012507033001384116
chain_8,8,4,TN(χ=4),4,0.5,143.8112037229092,0.011939324000195484
chain_8,8,8,TN(χ=8),4,0.5,143.8112037229092,0.011466731000837171
chain_8,8,16,TN(χ=16),4,0.5,143.8112037229092,0.012086735001503257
chain_8,8,32,TN(χ=32),4,0.5,143.8112037229092,0.01578317299936316
chain_8,8,-1,Metropolis-SA,4,0.5,143.8112037229092,1.2383301429999847
chain_8,16,1,TN(χ=1),7,0.4375,461.83291979515366,0.04137217300012708
chain_8,16,2,TN(χ=2),7,0.4375,461.83291979515366,0.042999871000574785
chain_8,16,4,TN(χ=4),7,0.4375,461.83291979515366,0.05307107199951133
chain_8,16,8,TN(χ=8),7,0.4375,461.83291979515366,0.06306850700093491
chain_8,16,16,TN(χ=16),7,0.4375,461.83291979515366,0.24180444400008128
chain_8,16,32,TN(χ=32),7,0.4375,461.83291979515366,1.0060897309995198
chain_8,16,-1,Metropolis-SA,7,0.4375,465.26550717504665,1.2636209960000997
chain_8,24,1,TN(χ=1),13,0.5416666666666666,868.7452327418129,0.07130150599914487
chain_8,24,2,TN(χ=2),13,0.5416666666666666,868.7452327418129,0.08086095500038937
chain_8,24,4,TN(χ=4),13,0.5416666666666666,868.7452327418129,0.0947245320003276
chain_8,24,8,TN(χ=8),13,0.5416666666666666,868.7452327418129,0.12861288799831527
chain_8,24,16,TN(χ=16),13,0.5416666666666666,868.7452327418129,1.1398956579996593
chain_8,24,32,TN(χ=32),13,0.5416666666666666,868.7452327418129,3.792422706999787
chain_8,24,-1,Metropolis-SA,13,0.5416666666666666,886.2038412241352,1.4163267490002909
