n_requests,sigma,policy,eps,n_variables,n_bundles_in,n_selected,param_utility,e_utility,reliability_gap,served_ratio,sla_violation_prob,e_delivered_fidelity,exact_time_s,gap_vs_exact
6,0.03,hard,0.0,13,13,4,104.02730399064971,149.27297677417977,-45.245672783530054,0.7625,0.01639344262295082,0.7312335006814947,0.001881894000689499,nan
6,0.03,chance,0.05,10,10,3,103.4692676483163,144.96232659375215,-41.49305894543585,0.925,0.0,0.7477188041362007,0.0014471790000243345,nan
6,0.03,chance,0.1,11,11,4,104.02730399064971,149.27297677417977,-45.245672783530054,0.7625,0.01639344262295082,0.7312335006814947,0.0012000229999102885,nan
6,0.03,chance,0.2,13,13,4,104.02730399064971,149.27297677417977,-45.245672783530054,0.7625,0.01639344262295082,0.7312335006814947,0.0018480569997336715,nan
6,0.03,chance,0.35,13,13,4,104.02730399064971,149.27297677417977,-45.245672783530054,0.7625,0.01639344262295082,0.7312335006814947,0.0012138450001657475,nan
6,0.03,chance,0.5,13,13,4,104.02730399064971,149.27297677417977,-45.245672783530054,0.7625,0.01639344262295082,0.7312335006814947,0.0017299219998676563,nan
6,0.03,chance,0.65,13,13,4,104.02730399064971,149.27297677417977,-45.245672783530054,0.7625,0.01639344262295082,0.7312335006814947,0.0012035939998895628,nan
6,0.03,chance,0.8,13,13,4,104.02730399064971,149.27297677417977,-45.245672783530054,0.7625,0.01639344262295082,0.7312335006814947,0.0014292450014181668,nan
6,0.03,nominal,1.0,18,18,6,128.7100542303082,206.4430460225317,-77.73299179222346,0.8541666666666666,0.43414634146341463,0.6395022649672245,0.001409086999046849,nan
6,0.03,chance_qubo,0.2,13,13,2,93.18145995075177,127.88295834584218,-34.70149839509041,0.9625,0.0,0.7924224213572928,0.0013654229987878352,0.10425958977916795
6,0.03,hard,0.0,17,17,6,162.7358888897135,318.6454444126026,-155.90955552288912,0.8416666666666667,0.13861386138613863,0.628424956180593,0.001230772000781144,nan
6,0.03,chance,0.05,14,14,5,95.5943346335777,215.16395824902003,-119.56962361544232,0.74,0.0,0.6632684108519038,0.0012464139999792678,nan
6,0.03,chance,0.1,15,15,5,126.58560454510551,227.94971692743349,-101.36411238232797,0.775,0.04516129032258064,0.6536682447314851,0.0012504589994932758,nan
