topology,n_nodes,edge_capacity,n_requests,n_bundles,solver,seed,served,served_ratio,utility,time_s
chain_4,4,4,2,3,Metropolis,42,1,0.5,4.91347,0.9245837489997939
chain_4,4,4,2,3,TensorNetwork,42,1,0.5,4.91347,0.0002218569989054231
chain_4,4,4,2,3,Metropolis,43,1,0.5,4.91347,0.8566725319997204
chain_4,4,4,2,3,TensorNetwork,43,1,0.5,4.91347,0.0001675120001891628
chain_4,4,4,2,3,Metropolis,44,1,0.5,4.91347,0.8458684840006754
chain_4,4,4,2,3,TensorNetwork,44,1,0.5,4.91347,0.00021018799998273607
chain_4,4,4,4,9,Metropolis,42,3,0.75,5.99366,0.9542303280013584
chain_4,4,4,4,9,TensorNetwork,42,3,0.75,5.99366,0.000547374000234413
chain_4,4,4,4,9,Metropolis,43,3,0.75,5.99366,0.9400991980000981
chain_4,4,4,4,9,TensorNetwork,43,3,0.75,5.99366,0.0009068760009540711
chain_4,4,4,4,9,Metropolis,44,3,0.75,5.99366,0.9527896550007426
chain_4,4,4,4,9,TensorNetwork,44,3,0.75,5.99366,0.0005521490002138307
chain_4,4,4,8,16,Metropolis,42,5,0.625,12.614267704,0.9580586310003127
chain_4,4,4,8,16,TensorNetwork,42,5,0.625,12.614267704,0.0022093319985287962
chain_4,4,4,8,16,Metropolis,43,5,0.625,12.614267704,0.9510947769995255
chain_4,4,4,8,16,TensorNetwork,43,5,0.625,12.614267704,0.0020393809991219314
chain_4,4,4,8,16,Metropolis,44,5,0.625,12.614267704,0.9790046360012639
chain_4,4,4,8,16,TensorNetwork,44,5,0.625,12.614267704,0.0024597369992989115
chain_4,4,4,16,32,Metropolis,42,7,0.4375,23.407678304,1.0305649950005318
chain_4,4,4,16,32,TensorNetwork,42,7,0.4375,24.246007704,0.035191031000067596
chain_4,4,4,16,32,Metropolis,43,7,0.4375,23.407678304,0.9805289679989073
chain_4,4,4,16,32,TensorNetwork,43,7,0.4375,24.246007704,0.03589306799949554
chain_4,4,4,16,32,Metropolis,44,7,0.4375,24.246007704,0.9953385400003754
