n_requests,tau_mem,swap_success,n_selected,param_expected_utility,e_utility,utility_gap,served_ratio,sla_violation_prob,e_delivered_fidelity,e_latency,n_realizations
6,5.0,0.9,4,287.67942551991183,274.6062865902139,13.073138929697905,0.95625,0.0,0.7927450980392151,0.0,40
6,5.0,0.95,4,287.67942551991183,276.65502753152623,11.024397988385601,0.9625,0.0,0.7923376623376618,0.0,40
6,5.0,1.0,4,287.67942551991183,287.67942551991166,1.7053025658242404e-13,1.0,0.0,0.7899999999999995,0.0,40
6,50.0,0.9,4,287.67942551991183,274.6062865902139,13.073138929697905,0.95625,0.0,0.7927450980392151,0.0,40
6,50.0,0.95,4,287.67942551991183,276.65502753152623,11.024397988385601,0.9625,0.0,0.7923376623376618,0.0,40
6,50.0,1.0,4,287.67942551991183,287.67942551991166,1.7053025658242404e-13,1.0,0.0,0.7899999999999995,0.0,40
10,5.0,0.9,5,407.6718272950847,397.13478368436364,10.53704361072107,0.965,0.0,0.8046113989637285,0.0,40
10,5.0,0.95,5,407.6718272950847,401.5256044711474,6.146222823937308,0.985,0.0,0.8030964467005054,0.0,40
10,5.0,1.0,5,407.6718272950847,407.6718272950843,3.979039320256561e-13,1.0,0.0,0.8019999999999977,0.0,40
10,50.0,0.9,5,407.6718272950847,397.13478368436364,10.53704361072107,0.965,0.0,0.8046113989637285,0.0,40
10,50.0,0.95,5,407.6718272950847,401.5256044711474,6.146222823937308,0.985,0.0,0.8030964467005054,0.0,40
10,50.0,1.0,5,407.6718272950847,407.6718272950843,3.979039320256561e-13,1.0,0.0,0.8019999999999977,0.0,40
