topology,n_requests,solver,served,served_ratio,utility,time_s
grid_2x3,8,Metropolis,7,0.875,13.577945497118312,1.978419738001321
grid_2x3,8,TensorNetwork,7,0.875,13.577945497118312,0.014552560000083758
grid_2x3,16,Metropolis,10,0.625,24.42862052774889,2.01843073100099
grid_2x3,16,TensorNetwork,10,0.625,24.42862052774889,0.08237321700107714
grid_3x3,8,Metropolis,7,0.875,19.962664478666664,1.9664615590008907
grid_3x3,8,TensorNetwork,7,0.875,19.962664478666664,0.01324419499906071
grid_3x3,16,Metropolis,10,0.625,27.08956667866666,2.222057639999548
grid_3x3,16,TensorNetwork,10,0.625,26.035444478666665,0.09291240600032324
grid_4x4,8,Metropolis,5,0.625,12.944701837333326,2.2728375739989133
grid_4x4,8,TensorNetwork,6,0.75,12.704000026373325,0.00953165999999328
grid_4x4,16,Metropolis,11,0.6875,21.847464996953054,2.6230517430012696
grid_4x4,16,TensorNetwork,11,0.6875,21.847464996953054,0.17407309800000803
