instance,n_requests,scale,formulation,served,served_ratio,utility,n_vars,raw_conflict_rate,raw_mean_multi_bundle
req4,4,1.0,Slack-QUBO,1,0.25,3.9349700000000007,49,0.0,0.0
req4,4,1.0,Direct-QUBO,1,0.25,3.9349700000000007,5,0.0,0.0
req4,4,1.0,Direct-Metropolis,1,0.25,3.9349700000000007,5,0.0,0.0
req4,4,10.0,Slack-QUBO,1,0.25,3.1985553999999996,49,0.0,0.0
req4,4,10.0,Direct-QUBO,1,0.25,3.9349700000000007,5,0.0,0.0
req4,4,10.0,Direct-Metropolis,1,0.25,3.9349700000000007,5,0.0,0.0
req4,4,100.0,Slack-QUBO,0,0.0,0,49,1.0,1.0
req4,4,100.0,Direct-QUBO,0,0.0,0,5,0.0,0.0
req4,4,100.0,Direct-Metropolis,1,0.25,3.9349700000000007,5,0.0,0.0
req4,4,1000.0,Slack-QUBO,1,0.25,3.1985553999999996,49,0.0,0.0
req4,4,1000.0,Direct-QUBO,0,0.0,0,5,0.0,0.0
req4,4,1000.0,Direct-Metropolis,1,0.25,3.9349700000000007,5,0.0,0.0
req8,8,1.0,Slack-QUBO,1,0.125,3.9349700000000007,55,0.0,0.0
req8,8,1.0,Direct-QUBO,3,0.375,7.6466,11,0.0,0.0
req8,8,1.0,Direct-Metropolis,3,0.375,7.6466,11,0.0,0.0
req8,8,10.0,Slack-QUBO,0,0.0,0,55,0.0,0.0
req8,8,10.0,Direct-QUBO,1,0.125,3.9349700000000007,11,0.0,0.0
req8,8,10.0,Direct-Metropolis,3,0.375,7.6466,11,0.0,0.0
req8,8,100.0,Slack-QUBO,0,0.0,0,55,0.0,0.0
req8,8,100.0,Direct-QUBO,0,0.0,0,11,0.0,0.0
req8,8,100.0,Direct-Metropolis,3,0.375,7.6466,11,0.0,0.0
req8,8,1000.0,Slack-QUBO,0,0.0,0,55,0.0,0.0
req8,8,1000.0,Direct-QUBO,0,0.0,0,11,0.0,0.0
req8,8,1000.0,Direct-Metropolis,3,0.375,7.6466,11,0.0,0.0
req12,12,1.0,Slack-QUBO,2,0.16666666666666666,2.5176082310822196,60,1.0,1.0
req12,12,1.0,Direct-QUBO,4,0.3333333333333333,12.066049999999997,16,0.0,0.0
req12,12,1.0,Direct-Metropolis,5,0.4166666666666667,12.539930527748885,16,0.0,0.0
req12,12,10.0,Slack-QUBO,3,0.25,4.5917382310822195,60,0.0,0.0
req12,12,10.0,Direct-QUBO,1,0.08333333333333333,3.9349700000000007,16,0.0,0.0
req12,12,10.0,Direct-Metropolis,5,0.4166666666666667,12.539930527748885,16,0.0,0.0
req12,12,100.0,Slack-QUBO,3,0.25,4.157234831082219,60,0.0,0.0
req12,12,100.0,Direct-QUBO,0,0.0,0,16,0.0,0.0
req12,12,100.0,Direct-Metropolis,5,0.4166666666666667,12.539930527748885,16,0.0,0.0
req12,12,1000.0,Slack-QUBO,3,0.25,4.5917382310822195,60,0.0,0.0
req12,12,1000.0,Direct-QUBO,0,0.0,0,16,0.0,0.0
req12,12,1000.0,Direct-Metropolis,5,0.4166666666666667,12.539930527748885,16,0.0,0.0
