frontier_index,throughput,fidelity,latency,memory
0,0,0.0,0,0.0
1,1,0.85,5.0,2.0
2,1,0.8841463414634146,10.0,4.0
3,1,0.9134033532472536,20.0,8.0
4,1,0.85,5.0,2.0
5,2,0.85,10.0,4.0
6,3,0.7779999999999999,25.0,10.0
7,3,0.8011209559844955,40.0,16.0
8,3,0.8230171706158821,70.0,28.0
9,3,0.7779999999999999,25.0,10.0
10,3,0.8011209559844955,40.0,16.0
11,3,0.8230171706158821,70.0,28.0
12,3,0.7779999999999999,25.0,10.0
13,3,0.8011209559844955,40.0,16.0
14,3,0.8230171706158821,70.0,28.0
15,2,0.8670731707317073,15.0,6.0
16,3,0.7893821138211381,30.0,12.0
17,3,0.8125030698056337,45.0,18.0
18,3,0.8343992844370204,75.0,30.0
19,3,0.7893821138211381,30.0,12.0
20,3,0.8125030698056337,45.0,18.0
21,3,0.8343992844370204,75.0,30.0
22,3,0.7893821138211381,30.0,12.0
23,3,0.8125030698056337,45.0,18.0
24,3,0.8343992844370204,75.0,30.0
25,3,0.7779999999999999,25.0,10.0
26,4,0.7419999999999999,40.0,16.0
27,4,0.7593407169883715,55.0,22.0
28,4,0.7757628779619115,85.0,34.0
29,4,0.7419999999999999,40.0,16.0
30,4,0.7593407169883715,55.0,22.0
31,4,0.7757628779619115,85.0,34.0
32,4,0.7419999999999999,40.0,16.0
33,4,0.7593407169883715,55.0,22.0
34,4,0.7757628779619115,85.0,34.0
35,3,0.7893821138211381,30.0,12.0
36,4,0.7505365853658535,45.0,18.0
37,4,0.7678773023542251,60.0,24.0
38,4,0.7842994633277651,90.0,36.0
39,4,0.7505365853658535,45.0,18.0
40,4,0.7678773023542251,60.0,24.0
41,4,0.7842994633277651,90.0,36.0
42,4,0.7505365853658535,45.0,18.0
43,4,0.7678773023542251,60.0,24.0
44,4,0.7842994633277651,90.0,36.0
45,3,0.8011209559844955,40.0,16.0
46,4,0.7593407169883716,55.0,22.0
47,4,0.7766814339767432,70.0,28.0
48,4,0.7931035949502832,100.0,40.0
49,4,0.7593407169883716,55.0,22.0
50,4,0.7766814339767432,70.0,28.0
51,4,0.7931035949502832,100.0,40.0
52,4,0.7593407169883716,55.0,22.0
53,4,0.7766814339767432,70.0,28.0
54,4,0.7931035949502832,100.0,40.0
55,3,0.8125030698056337,45.0,18.0
56,4,0.7678773023542252,60.0,24.0
57,4,0.7852180193425968,75.0,30.0
58,4,0.8016401803161368,105.0,42.0
59,4,0.7678773023542252,60.0,24.0
60,4,0.7852180193425968,75.0,30.0
61,4,0.8016401803161368,105.0,42.0
62,4,0.7678773023542252,60.0,24.0
63,4,0.7852180193425968,75.0,30.0
64,4,0.8016401803161368,105.0,42.0
65,3,0.8230171706158821,70.0,28.0
66,4,0.7757628779619116,85.0,34.0
67,4,0.7931035949502832,100.0,40.0
68,4,0.8095257559238231,130.0,52.0
69,4,0.7757628779619116,85.0,34.0
70,4,0.7931035949502832,100.0,40.0
71,4,0.8095257559238231,130.0,52.0
72,4,0.7757628779619116,85.0,34.0
73,4,0.7931035949502832,100.0,40.0
74,4,0.8095257559238231,130.0,52.0
75,3,0.8343992844370204,75.0,30.0
76,4,0.7842994633277652,90.0,36.0
77,4,0.8016401803161368,105.0,42.0
78,4,0.8180623412896768,135.0,54.0
79,4,0.7842994633277652,90.0,36.0
80,4,0.8016401803161368,105.0,42.0
81,4,0.8180623412896768,135.0,54.0
82,4,0.7842994633277652,90.0,36.0
83,4,0.8016401803161368,105.0,42.0
84,4,0.8180623412896768,135.0,54.0
85,3,0.7779999999999999,25.0,10.0
86,4,0.7419999999999999,40.0,16.0
87,4,0.7593407169883715,55.0,22.0
88,4,0.7757628779619115,85.0,34.0
89,4,0.7419999999999999,40.0,16.0
90,4,0.7593407169883715,55.0,22.0
91,4,0.7757628779619115,85.0,34.0
92,4,0.7419999999999999,40.0,16.0
93,4,0.7593407169883715,55.0,22.0
94,4,0.7757628779619115,85.0,34.0
95,3,0.7893821138211381,30.0,12.0
96,4,0.7505365853658535,45.0,18.0
97,4,0.7678773023542251,60.0,24.0
98,4,0.7842994633277651,90.0,36.0
99,4,0.7505365853658535,45.0,18.0
100,4,0.7678773023542251,60.0,24.0
101,4,0.7842994633277651,90.0,36.0
102,4,0.7505365853658535,45.0,18.0
103,4,0.7678773023542251,60.0,24.0
104,4,0.7842994633277651,90.0,36.0
