path_length,min_fidelity,k,fidelity,success_probability,latency,bell_pair_cost,memory_demand,utility
3,0.5,0,0.6339999999999998,0.5120000000000001,15.0,3,6,28.730400000000007
3,0.5,1,0.7033628679534862,0.14453781299200005,30.0,6,12,8.09657185848889
3,0.5,2,0.7690515118476463,0.013170532297439069,60.0,12,24,-0.36429580380483495
3,0.5,3,0.8266607538598147,0.00012278276201358547,120.0,24,48,-2.3918554464193034
3,0.5,4,0.8738721861310963,1.1725389537090543e-08,240.0,48,96,-4.799999194540673
3,0.7,1,0.7033628679534862,0.14453781299200005,30.0,6,12,6.6511937285688925
3,0.7,2,0.7690515118476463,0.013170532297439069,60.0,12,24,-0.4960011267792255
3,0.7,3,0.8266607538598147,0.00012278276201358547,120.0,24,48,-2.393083274039439
3,0.7,4,0.8738721861310963,1.1725389537090543e-08,240.0,48,96,-4.799999311794568
4,0.5,0,0.5571999999999998,0.40960000000000013,20.0,4,8,21.251456000000008
4,0.5,1,0.6333312054240858,0.07585344425820163,40.0,8,16,3.498353770835818
4,0.5,2,0.7091206846237136,0.0031103154445157864,80.0,16,32,-1.4119626630165683
4,0.5,3,0.7782912764926125,6.102622860205437e-06,160.0,32,64,-3.199609953521704
4,0.5,4,0.8367328591626423,2.6638087398566362e-11,320.0,64,128,-6.3999999982196005
4,0.7,2,0.7091206846237136,0.0031103154445157864,80.0,16,32,-1.4430658174617261
4,0.7,3,0.7782912764926125,6.102622860205437e-06,160.0,32,64,-3.199670979750306
4,0.7,4,0.8367328591626423,2.6638087398566362e-11,320.0,64,128,-6.399999998485981
5,0.5,1,0.5741174419845929,0.03980788754670422,50.0,10,20,1.1379173171238133
5,0.5,2,0.6561096022993952,0.0007345232482573614,100.0,20,40,-1.9575405309788763
5,0.5,3,0.7339789615473654,3.033162405141309e-07,200.0,40,80,-3.9999812857070256
5,0.5,4,0.8018044491709869,6.051719629518869e-14,400.0,80,160,-7.999999999996061
5,0.7,3,0.7339789615473654,3.033162405141309e-07,200.0,40,80,-3.999984318869431
5,0.7,4,0.8018044491709869,6.051719629518869e-14,400.0,80,160,-7.999999999996666
6,0.5,1,0.5240505200520135,0.020891179384510374,60.0,12,24,-0.13031884433961272
6,0.5,2,0.609219295935103,0.00017346292099788564,120.0,24,48,-2.390379579044994
6,0.5,3,0.6933835000562264,1.5075606647684768e-08,240.0,48,96,-4.799999100450989
6,0.5,4,0.7689553395039909,1.3748475979651237e-16,480.0,96,192,-9.59999999999999
6,0.7,4,0.7689553395039909,1.3748475979651237e-16,480.0,96,192,-9.599999999999994
