slot,arrivals,served_dec,served_static,time_dec_s,time_static_s
0,1,1,0,0.00025127099979727063,0.00022036900008970406
1,2,0,0,0.0003505100012262119,0.00029563099997176323
2,1,2,2,0.0005325779984559631,0.00038331799987645354
3,0,2,2,0.00044807300037064124,0.0004514209995249985
4,1,3,3,0.0005033060006098822,0.000638654999420396
5,0,3,3,0.0007844929987186333,0.0004561240002658451
6,4,5,5,0.0008665579989610706,0.0005571960009547183
7,2,4,5,0.0008330159998877207,0.0006143280006654095
8,1,6,5,0.0007919420004327549,0.0006140540008345852
9,2,7,5,0.0008796080001047812,0.0008464940001431387
10,3,7,3,0.0012602759998117108,0.0013944149995950283
11,1,7,5,0.0018373910006630467,0.0009877390002657194
12,2,8,5,0.0017912630009959685,0.0007530149996455293
13,1,8,5,0.0008421750007983064,0.000630934999207966
14,0,8,7,0.0009815100002015242,0.0007118550001905533
15,4,8,11,0.0012597620006999932,0.000926344999243156
16,1,10,12,0.0010738960008893628,0.0010036059993581148
17,2,11,12,0.001519436998933088,0.0016421469990746118
18,2,11,12,0.0014212619989848463,0.001160936000815127
19,2,12,13,0.0013609039997390937,0.001133431998823653
