topology,n_nodes,n_edges,density,min_degree,max_degree,mean_degree,n_requests,served,served_ratio,utility,mean_latency,time_s
chain,12,11,0.16666666666666666,1,2,1.8333333333333333,4,2,0.5,119.66288924130214,7.5,0.9799579649998122
ring,12,12,0.18181818181818182,2,2,2.0,4,2,0.5,119.66288924130214,7.5,0.781364000999929
random_geometric,12,15,0.22727272727272727,1,4,2.5,4,2,0.5,93.71270860881515,20.0,1.2172910459999002
erdos_renyi,12,16,0.24242424242424243,1,4,2.6666666666666665,4,3,0.75,128.37390105883995,6.666666666666667,0.9202947990002031
watts_strogatz,12,23,0.3484848484848485,3,5,3.8333333333333335,4,4,1.0,214.19895724667794,7.5,0.826019037000151
barabasi_albert,12,21,0.3181818181818182,2,5,3.5,4,1,0.25,32.26771689705932,10.0,0.7872326179999618
chain,12,11,0.16666666666666666,1,2,1.8333333333333333,8,5,0.625,374.2825556743139,9.0,0.9699179210001603
ring,12,12,0.18181818181818182,2,2,2.0,8,5,0.625,374.2825556743139,9.0,1.0328809100001308
random_geometric,12,15,0.22727272727272727,1,4,2.5,8,3,0.375,116.84979807869766,26.666666666666668,1.0629145709999648
erdos_renyi,12,16,0.24242424242424243,1,4,2.6666666666666665,8,5,0.625,263.24099383255486,13.0,0.9740731520000736
watts_strogatz,12,23,0.3484848484848485,3,5,3.8333333333333335,8,8,1.0,558.4938121135654,7.5,0.9244074029998046
barabasi_albert,12,21,0.3181818181818182,2,5,3.5,8,3,0.375,243.04966179059764,6.666666666666667,0.6988350050000918
