topology,instance,instance_seed,n_requests,n_bundles,A_conventional,B_conventional,D_conventional,A_resource_aware,B_resource_aware,D_resource_aware,B_ratio,D_ratio,B_tighter,D_tighter
chain8_c4,n8,10,8,21,109.26100368883704,109.26100368883704,109.26100368883704,109.26100368883704,109.26100368883704,109.26100368883704,1.0,1.0,False,False
chain8_c4,n16,10,16,31,96.11466040752592,96.11466040752592,96.11466040752592,96.11466040752592,96.11466040752592,96.11466040752592,1.0,1.0,False,False
chain8_c4,n24,10,24,45,93.98791327237807,93.98791327237807,93.98791327237807,93.98791327237807,93.98791327237807,93.98791327237807,1.0,1.0,False,False
chain8_c4,n8,11,8,11,61.432823918631925,61.432823918631925,61.432823918631925,61.432823918631925,61.432823918631925,61.432823918631925,1.0,1.0,False,False
chain8_c4,n16,11,16,29,115.6751730869318,115.6751730869318,115.6751730869318,115.6751730869318,115.6751730869318,115.6751730869318,1.0,1.0,False,False
chain8_c4,n24,11,24,55,120.89634975074556,120.89634975074556,120.89634975074556,120.89634975074556,120.89634975074556,120.89634975074556,1.0,1.0,False,False
chain8_c4,n8,12,8,14,89.93706125577113,89.93706125577113,89.93706125577113,89.93706125577113,70.14267467543867,89.93706125577113,0.7799084570482084,1.0,True,False
chain8_c4,n16,12,16,31,85.2059938773477,85.2059938773477,85.2059938773477,85.2059938773477,85.2059938773477,85.2059938773477,1.0,1.0,False,False
chain8_c4,n24,12,24,56,92.82885642783394,92.82885642783394,92.82885642783394,92.82885642783394,92.82885642783394,92.82885642783394,1.0,1.0,False,False
chain8_c4,n8,13,8,21,92.3039785027982,92.3039785027982,92.3039785027982,92.3039785027982,81.55317125536023,92.3039785027982,0.8835282354908238,1.0,True,False
chain8_c4,n16,13,16,37,92.51992004780229,92.51992004780229,92.51992004780229,92.51992004780229,92.51992004780229,92.51992004780229,1.0,1.0,False,False
chain8_c4,n24,13,24,51,124.45261269220082,124.45261269220082,124.45261269220082,124.45261269220082,124.45261269220082,124.45261269220082,1.0,1.0,False,False
chain8_c4,n8,14,8,21,91.26085132969163,91.26085132969163,91.26085132969163,91.26085132969163,91.26085132969163,91.26085132969163,1.0,1.0,False,False
chain8_c4,n16,14,16,26,105.02345989000722,105.02345989000722,105.02345989000722,105.02345989000722,105.02345989000722,105.02345989000722,1.0,1.0,False,False
chain8_c4,n24,14,24,48,92.23969151615424,92.23969151615424,92.23969151615424,92.23969151615424,92.23969151615424,92.23969151615424,1.0,1.0,False,False
chain8_c4,n8,15,8,18,68.05548949424956,68.05548949424956,68.05548949424956,68.05548949424956,68.05548949424956,68.05548949424956,1.0,1.0,False,False
chain8_c4,n16,15,16,40,124.22854723788176,124.22854723788176,124.22854723788176,124.22854723788176,124.22854723788176,124.22854723788176,1.0,1.0,False,False
chain8_c4,n24,15,24,44,115.36393029884204,115.36393029884204,115.36393029884204,115.36393029884204,115.36393029884204,115.36393029884204,1.0,1.0,False,False
chain8_c4,n8,16,8,14,70.42237341981776,70.42237341981776,70.42237341981776,70.42237341981776,70.42237341981776,70.42237341981776,1.0,1.0,False,False
chain8_c4,n16,16,16,28,92.32134198741856,92.32134198741856,92.32134198741856,92.32134198741856,92.32134198741856,92.32134198741856,1.0,1.0,False,False
chain8_c4,n24,16,24,44,100.48559539842687,100.48559539842687,100.48559539842687,100.48559539842687,100.48559539842687,100.48559539842687,1.0,1.0,False,False
chain8_c4,n8,17,8,17,86.19362515357506,86.19362515357506,86.19362515357506,86.19362515357506,86.19362515357506,86.19362515357506,1.0,1.0,False,False
chain8_c4,n16,17,16,25,106.61923106628616,106.61923106628616,106.61923106628616,106.61923106628616,106.61923106628616,106.61923106628616,1.0,1.0,False,False
chain8_c4,n24,17,24,44,97.20060206498748,97.20060206498748,97.20060206498748,97.20060206498748,97.20060206498748,97.20060206498748,1.0,1.0,False,False
chain8_c4,n8,18,8,17,110.06961824166619,110.06961824166619,110.06961824166619,110.06961824166619,110.06961824166619,110.06961824166619,1.0,1.0,False,False
chain8_c4,n16,18,16,32,82.73186635705491,82.73186635705491,82.73186635705491,82.73186635705491,82.73186635705491,82.73186635705491,1.0,1.0,False,False
chain8_c4,n24,18,24,48,100.8200904871821,100.8200904871821,100.8200904871821,100.8200904871821,100.8200904871821,100.8200904871821,1.0,1.0,False,False
chain8_c4,n8,19,8,13,100.27302958512178,100.27302958512178,100.27302958512178,100.27302958512178,100.27302958512178,100.27302958512178,1.0,1.0,False,False
chain8_c4,n16,19,16,27,103.8137529761521,103.8137529761521,103.8137529761521,103.8137529761521,103.8137529761521,103.8137529761521,1.0,1.0,False,False
chain8_c4,n24,19,24,51,104.75581330918989,104.75581330918989,104.75581330918989,104.75581330918989,104.75581330918989,104.75581330918989,1.0,1.0,False,False
chain8_c4,n8,20,8,9,44.11476829958187,44.11476829958187,44.11476829958187,44.11476829958187,44.11476829958187,44.11476829958187,1.0,1.0,False,False
chain8_c4,n16,20,16,27,76.6716907302639,76.6716907302639,76.6716907302639,76.6716907302639,76.6716907302639,76.6716907302639,1.0,1.0,False,False
chain8_c4,n24,20,24,45,124.86426986051201,124.86426986051201,124.86426986051201,124.86426986051201,124.86426986051201,124.86426986051201,1.0,1.0,False,False
chain8_c4,n8,21,8,15,93.19978970671875,93.19978970671875,93.19978970671875,93.19978970671875,93.19978970671875,93.19978970671875,1.0,1.0,False,False
chain8_c4,n16,21,16,23,79.87902080487918,79.87902080487918,79.87902080487918,79.87902080487918,79.87902080487918,79.87902080487918,1.0,1.0,False,False
chain8_c4,n24,21,24,39,97.04682757841186,97.04682757841186,97.04682757841186,97.04682757841186,97.04682757841186,97.04682757841186,1.0,1.0,False,False
chain8_c4,n8,22,8,18,109.45342211847864,109.45342211847864,109.45342211847864,109.45342211847864,109.45342211847864,109.45342211847864,1.0,1.0,False,False
chain8_c4,n16,22,16,30,117.63893715532575,117.63893715532575,117.63893715532575,117.63893715532575,117.63893715532575,117.63893715532575,1.0,1.0,False,False
chain8_c4,n24,22,24,45,108.17721615000951,108.17721615000951,108.17721615000951,108.17721615000951,108.17721615000951,108.17721615000951,1.0,1.0,False,False
chain8_c4,n8,23,8,18,60.88942531688318,60.88942531688318,60.88942531688318,60.88942531688318,60.88942531688318,60.88942531688318,1.0,1.0,False,False
chain8_c4,n16,23,16,31,71.73659045469653,71.73659045469653,71.73659045469653,71.73659045469653,71.73659045469653,71.73659045469653,1.0,1.0,False,False
chain8_c4,n24,23,24,46,97.8766658485736,97.8766658485736,97.8766658485736,97.8766658485736,97.8766658485736,97.8766658485736,1.0,1.0,False,False
chain8_c4,n8,24,8,15,76.10751486053972,76.10751486053972,76.10751486053972,76.10751486053972,76.10751486053972,76.10751486053972,1.0,1.0,False,False
chain8_c4,n16,24,16,35,102.67292631575091,102.67292631575091,102.67292631575091,102.67292631575091,102.67292631575091,102.67292631575091,1.0,1.0,False,False
chain8_c4,n24,24,24,52,102.9104823865924,102.9104823865924,102.9104823865924,102.9104823865924,102.9104823865924,102.9104823865924,1.0,1.0,False,False
chain8_c4,n8,25,8,17,104.25821643150245,104.25821643150245,104.25821643150245,104.25821643150245,104.25821643150245,104.25821643150245,1.0,1.0,False,False
chain8_c4,n16,25,16,36,123.43548210578174,123.43548210578174,123.43548210578174,123.43548210578174,123.43548210578174,123.43548210578174,1.0,1.0,False,False
chain8_c4,n24,25,24,40,118.9748950644114,118.9748950644114,118.9748950644114,118.9748950644114,118.9748950644114,118.9748950644114,1.0,1.0,False,False
chain8_c4,n8,26,8,13,84.93265371991893,84.93265371991893,84.93265371991893,84.93265371991893,84.93265371991893,84.93265371991893,1.0,1.0,False,False
