topology,instance,instance_seed,solver_seed,n_requests,n_bundles,bqm_variables,sampler,calibration,coefficient_scale,A,B,C,D,E,B_ratio,D_ratio,B_tighter,D_tighter,oracle_utility,oracle_optimal,oracle_status,compile_time_s,sample_time_s,n_reads,raw_feasible_rate,raw_mean_request_conflicts,raw_mean_edge_violations,raw_mean_memory_violations,raw_mean_violation_count,raw_mean_overload_units,raw_best_feasible_utility,repaired_best_utility,found_feasible,raw_optimality_gap_pct,repaired_optimality_gap_pct
chain8_c4,n8,12,101,8,14,67,sa,conventional,1.0,89.93706125577113,89.93706125577113,0.0,89.93706125577113,0.0,0.7799084570482084,1.0,True,False,209.86843474495623,True,OPTIMAL,0.010198666946962476,0.11795450001955032,100,1.0,0.0,0.0,0.0,0.0,0.0,60.103940192766444,60.103940192766444,True,71.36113381423552,71.36113381423552
chain8_c4,n8,12,202,8,14,67,sa,conventional,1.0,89.93706125577113,89.93706125577113,0.0,89.93706125577113,0.0,0.7799084570482084,1.0,True,False,209.86843474495623,True,OPTIMAL,0.010198666946962476,0.06539845804218203,100,0.0,0.0,1.0,0.0,1.0,2.0,nan,83.96236276466941,False,nan,59.9928579699443
chain8_c4,n8,12,303,8,14,67,sa,conventional,1.0,89.93706125577113,89.93706125577113,0.0,89.93706125577113,0.0,0.7799084570482084,1.0,True,False,209.86843474495623,True,OPTIMAL,0.010198666946962476,0.06345758296083659,100,1.0,0.0,0.0,0.0,0.0,0.0,75.26495703022236,75.26495703022236,True,64.13707610594774,64.13707610594774
chain8_c4,n8,12,404,8,14,67,sa,conventional,1.0,89.93706125577113,89.93706125577113,0.0,89.93706125577113,0.0,0.7799084570482084,1.0,True,False,209.86843474495623,True,OPTIMAL,0.010198666946962476,0.08914633397944272,100,1.0,0.0,0.0,0.0,0.0,0.0,142.89708638058198,142.89708638058198,True,31.91111061830787,31.91111061830787
chain8_c4,n8,12,505,8,14,67,sa,conventional,1.0,89.93706125577113,89.93706125577113,0.0,89.93706125577113,0.0,0.7799084570482084,1.0,True,False,209.86843474495623,True,OPTIMAL,0.010198666946962476,0.06344983296003193,100,0.0,1.0,1.0,0.0,2.0,1.0,nan,152.72178572189677,False,nan,27.22974948210161
chain8_c4,n8,12,101,8,14,67,sqa,conventional,1.0,89.93706125577113,89.93706125577113,0.0,89.93706125577113,0.0,0.7799084570482084,1.0,True,False,209.86843474495623,True,OPTIMAL,0.010198666946962476,5.884075167006813,100,1.0,0.0,0.0,0.0,0.0,0.0,207.5471715362569,207.5471715362569,True,1.1060563783783153,1.1060563783783153
chain8_c4,n8,12,202,8,14,67,sqa,conventional,1.0,89.93706125577113,89.93706125577113,0.0,89.93706125577113,0.0,0.7799084570482084,1.0,True,False,209.86843474495623,True,OPTIMAL,0.010198666946962476,6.032018000027165,100,0.0,1.0,0.0,0.0,1.0,0.0,nan,154.0086335305174,False,nan,26.616580660318345
chain8_c4,n8,12,303,8,14,67,sqa,conventional,1.0,89.93706125577113,89.93706125577113,0.0,89.93706125577113,0.0,0.7799084570482084,1.0,True,False,209.86843474495623,True,OPTIMAL,0.010198666946962476,7.7072109170258045,100,1.0,0.0,0.0,0.0,0.0,0.0,109.4201157503894,109.4201157503894,True,47.86251878070049,47.86251878070049
chain8_c4,n8,12,404,8,14,67,sqa,conventional,1.0,89.93706125577113,89.93706125577113,0.0,89.93706125577113,0.0,0.7799084570482084,1.0,True,False,209.86843474495623,True,OPTIMAL,0.010198666946962476,6.737097500008531,100,1.0,0.0,0.0,0.0,0.0,0.0,146.23740548866678,146.2374054886668,True,30.319485316416166,30.319485316416152
chain8_c4,n8,12,505,8,14,67,sqa,conventional,1.0,89.93706125577113,89.93706125577113,0.0,89.93706125577113,0.0,0.7799084570482084,1.0,True,False,209.86843474495623,True,OPTIMAL,0.010198666946962476,11.118932291050442,100,1.0,0.0,0.0,0.0,0.0,0.0,194.74105069070342,194.74105069070342,True,7.208032057148781,7.208032057148781
chain8_c4,n8,12,101,8,14,67,sa,resource_aware,1.0,89.93706125577113,70.14267467543867,0.0,89.93706125577113,0.0,0.7799084570482084,1.0,True,False,209.86843474495623,True,OPTIMAL,0.008399292011745274,0.13480570900719613,100,1.0,0.0,0.0,0.0,0.0,0.0,60.103940192766444,60.103940192766444,True,71.36113381423552,71.36113381423552
chain8_c4,n8,12,202,8,14,67,sa,resource_aware,1.0,89.93706125577113,70.14267467543867,0.0,89.93706125577113,0.0,0.7799084570482084,1.0,True,False,209.86843474495623,True,OPTIMAL,0.008399292011745274,0.07933187496382743,100,0.0,0.0,1.0,0.0,1.0,2.0,nan,83.96236276466941,False,nan,59.9928579699443
chain8_c4,n8,12,303,8,14,67,sa,resource_aware,1.0,89.93706125577113,70.14267467543867,0.0,89.93706125577113,0.0,0.7799084570482084,1.0,True,False,209.86843474495623,True,OPTIMAL,0.008399292011745274,0.0770212080096826,100,0.0,1.0,0.0,0.0,1.0,0.0,nan,93.16745311647887,False,nan,55.6067336997576
